A,B,"South_Acorn_Drive",5,10,5,10
B,C,"Acorn_Drive",15,5,15,5
C,D,"North_Acorn_Drive",7,10,15,7
H,G,"South_Almond_Way",10,10,10,10
G,F,"Almond_Way",15,20,15,20
F,E,"North_Almond_Way",5,6,5,6
I,J,"South_Peanut_Lane",8,9,10,11
J,K,"Peanut_Lane",11,10,9,8
K,L,"North_Peanut_Lane",7,5,7,5
P,O,"South_Walnut",6,5,6,5
O,N,"Walnut",10,8,10,8
N,M,"North_Walnut",9,6,9,6
D,E,"West_Elm_Street",10,8,12,7
E,L,"Elm_Street",12,11,12,8
L,M,"East_Elm_Street",5,4,5,4
C,F,"West_Central_Avenue",9,8,9,8
F,K,"Central_Avenue",5,4,5,4
K,N,"East_Central_Avenue",9,9,9,9
B,G,"West_Pine_Road",7,6,7,6
G,J,"Pine_Road",9,8,9,8
J,O,"East_Pine_Road",6,5,6,5
A,H,"West_Oak_Expressway",9,8,7,7
H,I,"Oak_Expressway",10,10,10,10
I,P,"East_Oak_Expressway",8,7,8,7
